                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.0586,                 5.8122,                0.32468,                0.96169,                  1.392,                0.84764,                0.80507,                0.87669,                0.52998,                0.30713,                 0.3042,                0.19843,                0.03873,                  1.391,                 5.8503,                0.10745,                0.94616,                 1.8931,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.0383,                 5.7495,                0.32766,                0.92704,                 1.3998,                 0.9066,                0.84597,                0.88679,                0.52912,                0.29859,                0.27641,                0.17766,                0.03208,                  1.408,                 5.8943,                0.10691,                0.87499,                 1.9173,              0.0006768,              0.0006768,              0.0006768
                     62,                  1.031,                 5.6761,                0.29809,                0.91257,                 1.3775,                 0.9412,                0.81716,                0.90022,                0.55724,                0.35018,                0.25874,                0.16596,                0.02183,                 1.3581,                 5.9417,                0.11152,                0.86616,                 1.8505,              0.0006603,              0.0006603,              0.0006603
                     63,                0.99794,                 5.6305,                0.31929,                0.91164,                 1.3542,                0.78451,                0.88649,                0.88912,                0.55569,                0.48244,                0.32517,                0.24722,                0.04444,                 1.3856,                 5.8567,                0.14701,                0.92249,                 1.8773,              0.0006438,              0.0006438,              0.0006438
                     64,                0.96748,                 5.6109,                0.32252,                0.85439,                 1.3298,                0.90121,                0.78807,                0.87831,                0.54954,                0.45948,                0.29283,                0.24623,                0.04518,                 1.3856,                  5.926,                0.16528,                0.88031,                 1.9022,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.0148,                  5.719,                0.33446,                0.92589,                 1.3919,                0.78907,                0.80916,                0.85375,                0.49752,                0.34118,                0.23951,                 0.1612,                0.03298,                 1.4854,                  5.995,                 0.2149,                0.97465,                 2.0103,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0135,                 5.7532,                0.32953,                0.84402,                 1.3476,                0.79075,                0.85818,                0.88207,                0.53023,                0.38123,                 0.2736,                0.21993,                 0.0431,                 1.4173,                 5.9275,                0.15314,                0.91817,                 1.9223,             0.00059429,             0.00059429,             0.00059429
                     67,                0.96203,                 5.5666,                0.33167,                0.81246,                 1.3093,                0.90553,                0.78352,                0.88376,                0.54364,                0.33736,                0.24126,                0.20509,                0.05096,                 1.3783,                 5.8427,                0.12337,                0.86844,                 1.8775,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.0063,                 5.7266,                0.33344,                0.87256,                 1.3561,                0.85194,                0.84178,                0.87046,                0.53041,                0.28635,                 0.2736,                0.18219,                0.04447,                 1.4656,                 5.7969,                0.15137,                0.88867,                 1.9648,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.9901,                 5.5358,                0.33501,                 0.8958,                  1.327,                0.86907,                0.78427,                0.86734,                0.53777,                0.37587,                0.27491,                0.21306,                0.05012,                 1.3751,                 5.7644,                0.13172,                0.94074,                 1.8644,             0.00054478,             0.00054478,             0.00054478
